"Genes","tissue","expression"
"NDN","Prefrontal Cortex (ref)",-10
"NIBP","Prefrontal Cortex (ref)",-10
"AK139287","Prefrontal Cortex (ref)",11
"CCDC40-AS","Prefrontal Cortex (ref)",11
"PX00113D24","Prefrontal Cortex (ref)",-3
"PEC2","Prefrontal Cortex (ref)",12.9526
"ZIM3","Prefrontal Cortex (ref)",-12
"AK142849","Prefrontal Cortex (ref)",3.91
"MKRN3","Prefrontal Cortex (ref)",11.1358
"IPW","Prefrontal Cortex (ref)",-6.1
"B830012L14RIK","Prefrontal Cortex (ref)",3.01
"ADAM23","Prefrontal Cortex (ref)",-4
"COMMD1","Prefrontal Cortex (ref)",-10
"UBE3A","Prefrontal Cortex (ref)",-10
"WARS","Prefrontal Cortex (ref)",-5.3
"BCL2L1","Prefrontal Cortex (ref)",-2.3
"BLCAP","Prefrontal Cortex (ref)",0.93
"CALCR","Prefrontal Cortex (ref)",-12
"MAGEL2","Prefrontal Cortex (ref)",11
"CDH15","Prefrontal Cortex (ref)",-8.9
"COPG2","Prefrontal Cortex (ref)",-10
"U80893","Prefrontal Cortex (ref)",-10
"NR_015479-new","Prefrontal Cortex (ref)",10
"GRB10","Prefrontal Cortex (ref)",-10
"PEG10","Prefrontal Cortex (ref)",-10
"SGCE","Prefrontal Cortex (ref)",-10
"PEG1","Prefrontal Cortex (ref)",-6.7
"MCTS2","Prefrontal Cortex (ref)",-5.7
"H13","Prefrontal Cortex (ref)",12.656
"SNRPN","Prefrontal Cortex (ref)",-10
"ZRSR1","Prefrontal Cortex (ref)",-10
"MEG3","Prefrontal Cortex (ref)",10
"RIAN","Prefrontal Cortex (ref)",10
"PEG3","Prefrontal Cortex (ref)",-10
"PLAGL1","Prefrontal Cortex (ref)",-10
"1110014L15RIK-new","Prefrontal Cortex (ref)",0.94
"ASB4","Prefrontal Cortex (ref)",11
"ZIM1","Prefrontal Cortex (ref)",0.39
"KLHDC10","Prefrontal Cortex (ref)",13.6117
"DLK1","Prefrontal Cortex (ref)",-0.3
"GNAS","Prefrontal Cortex (ref)",-0.7
"PPP1R9A","Prefrontal Cortex (ref)",1.76
"PDE4D","Prefrontal Cortex (ref)",13.2206
"A19","Prefrontal Cortex (ref)",-12
"ZFP264","Prefrontal Cortex (ref)",-12
"KCNQ1OT1","Prefrontal Cortex (ref)",-10
"AK050713","Prefrontal Cortex (ref)",11
"RTL1","Prefrontal Cortex (ref)",1.45
"CDKN1C","Prefrontal Cortex (ref)",2.97
"PEG12","Prefrontal Cortex (ref)",-12
"KCNQ1","Prefrontal Cortex (ref)",-10
"NESPAS","Prefrontal Cortex (ref)",NA
"SLC38A4","Prefrontal Cortex (ref)",11
"H19","Prefrontal Cortex (ref)",-12
"IGF2","Prefrontal Cortex (ref)",5.88
"INS1","Prefrontal Cortex (ref)",-12
"TFPI2","Prefrontal Cortex (ref)",-12
"AK043599","Prefrontal Cortex (ref)",1.04
"EDN3-new","Prefrontal Cortex (ref)",-0.4
"TMEM106A-new","Prefrontal Cortex (ref)",-0.3
"DDC","Prefrontal Cortex (ref)",-0.3
"RDM1","Prefrontal Cortex (ref)",11.9127
"TNK1-new","Prefrontal Cortex (ref)",11.672
"TREM1-new","Prefrontal Cortex (ref)",-12
"2400006E01RIK-new","Prefrontal Cortex (ref)",-12
"IGF2AS","Prefrontal Cortex (ref)",-12
"UC008IHS.1-new","Prefrontal Cortex (ref)",-12
"5133400J02RIK-new","Prefrontal Cortex (ref)",-12
"PHLDA2","Prefrontal Cortex (ref)",-12
"AF357359","Prefrontal Cortex (ref)",-12
"GAB1","Prefrontal Cortex (ref)",0.32
"SFMBT2","Prefrontal Cortex (ref)",11.4211
"CD81","Prefrontal Cortex (ref)",15.7044
"PHF17","Prefrontal Cortex (ref)",12.6979
"TSSC4","Prefrontal Cortex (ref)",-0.3
"DACT2-new","Prefrontal Cortex (ref)",14.2684
"SLC22A2","Prefrontal Cortex (ref)",-12
"TSSC5","Prefrontal Cortex (ref)",11
"SLC22A3","Prefrontal Cortex (ref)",11.288
"KLF14","Prefrontal Cortex (ref)",-12
"ATP10A","Prefrontal Cortex (ref)",-0.6
"DCN","Prefrontal Cortex (ref)",0.3
"PON2","Prefrontal Cortex (ref)",13.3129
"PON3","Prefrontal Cortex (ref)",11.3866
"AMPD3","Prefrontal Cortex (ref)",12.5719
"GABRB3","Prefrontal Cortex (ref)",14.6459
"GATM","Prefrontal Cortex (ref)",14.1101
"TBC1D12","Prefrontal Cortex (ref)",-0.6
"DIO3","Prefrontal Cortex (ref)",11.0369
"NAP1L4","Prefrontal Cortex (ref)",14.3327
"MSUIT","Prefrontal Cortex (ref)",-12
"ASCL2","Prefrontal Cortex (ref)",11
"OSBPL5","Prefrontal Cortex (ref)",12.9982
"TNFRSF23","Prefrontal Cortex (ref)",11.0832
"AIRN","Prefrontal Cortex (ref)",11.1078
"HTR2A","Prefrontal Cortex (ref)",12.2549
"MAPT","Prefrontal Cortex (ref)",15.4131
"MKRN1-PS1","Prefrontal Cortex (ref)",0.47
"DLX5","Prefrontal Cortex (ref)",11.739
"IGF2R","Prefrontal Cortex (ref)",12.5278
"TRY4-new","Prefrontal Cortex (ref)",-12
"TSPAN32","Prefrontal Cortex (ref)",11
"ZIM2","Prefrontal Cortex (ref)",-12
"PEC3","e9.5 Placenta",0
"UBE2NL","e9.5 Placenta",-12
"TRAPPC9","e9.5 Placenta",-11
"EIF2C2","e9.5 Placenta",-11
"MIR344D-3","e9.5 Placenta",-12
"MIR344G","e9.5 Placenta",-12
"A930009L07RIK","e9.5 Placenta",-12
"KCNK9","e9.5 Placenta",-12
"RASGRF1","e9.5 Placenta",-12
"INPP5F","e9.5 Placenta",-11
"NAP1L5","e9.5 Placenta",-11
"USP29","e9.5 Placenta",-4.5154
"HERC3-new","e9.5 Placenta",-11
"GM9801-new","e9.5 Placenta",-12
"BEGAIN","e9.5 Placenta",-11
"PX00010K13","e9.5 Placenta",-0.90695
"PEG13","e9.5 Placenta",-11
"1110006E14RIK","e9.5 Placenta",-11
"MBII-343","e9.5 Placenta",-11
"MIRG","e9.5 Placenta",-11
"ZDBF2","e9.5 Placenta",-1.2041
"IMPACT","e9.5 Placenta",-11
"NDN","e9.5 Placenta",-0.90695
"NIBP","e9.5 Placenta",-11
"AK139287","e9.5 Placenta",-12
"CCDC40-AS","e9.5 Placenta",-11
"PX00113D24","e9.5 Placenta",-2.7093
"PEC2","e9.5 Placenta",-12
"ZIM3","e9.5 Placenta",-0.30103
"AK142849","e9.5 Placenta",-11
"MKRN3","e9.5 Placenta",-11
"IPW","e9.5 Placenta",-12
"B830012L14RIK","e9.5 Placenta",-11
"ADAM23","e9.5 Placenta",-0.16273
"COMMD1","e9.5 Placenta",-11
"UBE3A","e9.5 Placenta",-11
"WARS","e9.5 Placenta",-11
"BCL2L1","e9.5 Placenta",-11
"BLCAP","e9.5 Placenta",-11
"CALCR","e9.5 Placenta",-12
"MAGEL2","e9.5 Placenta",-4.1065
"CDH15","e9.5 Placenta",-11
"COPG2","e9.5 Placenta",-11
"U80893","e9.5 Placenta",-12
"NR_015479-new","e9.5 Placenta",-11
"GRB10","e9.5 Placenta",-11
"PEG10","e9.5 Placenta",-10
"SGCE","e9.5 Placenta",-10
"PEG1","e9.5 Placenta",-10
"MCTS2","e9.5 Placenta",-0.82137
"H13","e9.5 Placenta",-11
"SNRPN","e9.5 Placenta",-10
"ZRSR1","e9.5 Placenta",-11
"MEG3","e9.5 Placenta",-11
"RIAN","e9.5 Placenta",-11
"PEG3","e9.5 Placenta",-10
"PLAGL1","e9.5 Placenta",-10
"1110014L15RIK-new","e9.5 Placenta",-11
"ASB4","e9.5 Placenta",-11
"ZIM1","e9.5 Placenta",-11
"KLHDC10","e9.5 Placenta",-11
"DLK1","e9.5 Placenta",-10
"GNAS","e9.5 Placenta",-11
"PPP1R9A","e9.5 Placenta",-11
"PDE4D","e9.5 Placenta",-11
"A19","e9.5 Placenta",-12
"ZFP264","e9.5 Placenta",-12
"KCNQ1OT1","e9.5 Placenta",-10
"AK050713","e9.5 Placenta",-11
"RTL1","e9.5 Placenta",11.5819
"CDKN1C","e9.5 Placenta",-11
"PEG12","e9.5 Placenta",-0.37736
"KCNQ1","e9.5 Placenta",-11
"NESPAS","e9.5 Placenta",-12
"SLC38A4","e9.5 Placenta",-10
"H19","e9.5 Placenta",-11
"IGF2","e9.5 Placenta",-10
"INS1","e9.5 Placenta",-12
"TFPI2","e9.5 Placenta",-11
"AK043599","e9.5 Placenta",-12
"EDN3-new","e9.5 Placenta",-11
"TMEM106A-new","e9.5 Placenta",-11
"DDC","e9.5 Placenta",-0.30103
"RDM1","e9.5 Placenta",-11
"TNK1-new","e9.5 Placenta",-11
"TREM1-new","e9.5 Placenta",-11
"2400006E01RIK-new","e9.5 Placenta",-10
"IGF2AS","e9.5 Placenta",-10
"UC008IHS.1-new","e9.5 Placenta",-10
"5133400J02RIK-new","e9.5 Placenta",-2.8405
"PHLDA2","e9.5 Placenta",-11
"AF357359","e9.5 Placenta",-11
"GAB1","e9.5 Placenta",-10
"SFMBT2","e9.5 Placenta",-10
"CD81","e9.5 Placenta",-11
"PHF17","e9.5 Placenta",-11
"TSSC4","e9.5 Placenta",-11
"DACT2-new","e9.5 Placenta",-11
"SLC22A2","e9.5 Placenta",-12
"TSSC5","e9.5 Placenta",-11
"SLC22A3","e9.5 Placenta",-11
"KLF14","e9.5 Placenta",-11
"ATP10A","e9.5 Placenta",-11
"DCN","e9.5 Placenta",-11
"PON2","e9.5 Placenta",-11
"PON3","e9.5 Placenta",-11
"AMPD3","e9.5 Placenta",-11
"GABRB3","e9.5 Placenta",-12
"GATM","e9.5 Placenta",-11
"TBC1D12","e9.5 Placenta",-11
"DIO3","e9.5 Placenta",-11
"NAP1L4","e9.5 Placenta",-11
"MSUIT","e9.5 Placenta",-12
"ASCL2","e9.5 Placenta",-11
"OSBPL5","e9.5 Placenta",-11
"TNFRSF23","e9.5 Placenta",-11
"AIRN","e9.5 Placenta",-0.50515
"HTR2A","e9.5 Placenta",-11
"MAPT","e9.5 Placenta",-11
"MKRN1-PS1","e9.5 Placenta",-11
"DLX5","e9.5 Placenta",-12
"IGF2R","e9.5 Placenta",-11
"TRY4-new","e9.5 Placenta",-12
"TSPAN32","e9.5 Placenta",-11
"ZIM2","e9.5 Placenta",-12
"PEC3","Whole Brain",-10
"UBE2NL","Whole Brain",-10
"TRAPPC9","Whole Brain",9.2453
"EIF2C2","Whole Brain",10
"MIR344D-3","Whole Brain",-7.5395
"MIR344G","Whole Brain",-4.6984
"A930009L07RIK","Whole Brain",10
"KCNK9","Whole Brain",5.5435
"RASGRF1","Whole Brain",-10
"INPP5F","Whole Brain",-10
"NAP1L5","Whole Brain",-10
"USP29","Whole Brain",-10
"HERC3-new","Whole Brain",8.028
"GM9801-new","Whole Brain",-3.9134
"BEGAIN","Whole Brain",-9.3369
"PX00010K13","Whole Brain",-10
"PEG13","Whole Brain",-10
"1110006E14RIK","Whole Brain",10
"MBII-343","Whole Brain",10
"MIRG","Whole Brain",10
"ZDBF2","Whole Brain",-10
"IMPACT","Whole Brain",-10
"NDN","Whole Brain",-10
"NIBP","Whole Brain",-10
"AK139287","Whole Brain",-11
"CCDC40-AS","Whole Brain",-11
"PX00113D24","Whole Brain",-3.3113
"PEC2","Whole Brain",-3.8622
"ZIM3","Whole Brain",-10
"AK142849","Whole Brain",1.9689
"MKRN3","Whole Brain",-0.30103
"IPW","Whole Brain",-2.4327
"B830012L14RIK","Whole Brain",5.8268
"ADAM23","Whole Brain",-0.85067
"COMMD1","Whole Brain",0.96108
"UBE3A","Whole Brain",0.69523
"WARS","Whole Brain",13.6871
"BCL2L1","Whole Brain",14.3142
"BLCAP","Whole Brain",0.25794
"CALCR","Whole Brain",2.7093
"MAGEL2","Whole Brain",-3.6124
"CDH15","Whole Brain",12.2402
"COPG2","Whole Brain",3.7031
"U80893","Whole Brain",-1.5051
"NR_015479-new","Whole Brain",4.9689
"GRB10","Whole Brain",-10
"PEG10","Whole Brain",-10
"SGCE","Whole Brain",-10
"PEG1","Whole Brain",-7.1929
"MCTS2","Whole Brain",-1.1367
"H13","Whole Brain",10
"SNRPN","Whole Brain",-10
"ZRSR1","Whole Brain",-10
"MEG3","Whole Brain",10
"RIAN","Whole Brain",10
"PEG3","Whole Brain",-10
"PLAGL1","Whole Brain",-10
"1110014L15RIK-new","Whole Brain",-11
"ASB4","Whole Brain",0.30103
"ZIM1","Whole Brain",2.0105
"KLHDC10","Whole Brain",0.43794
"DLK1","Whole Brain",-10
"GNAS","Whole Brain",10
"PPP1R9A","Whole Brain",13.328
"PDE4D","Whole Brain",12.2318
"A19","Whole Brain",-12
"ZFP264","Whole Brain",-12
"KCNQ1OT1","Whole Brain",-10
"AK050713","Whole Brain",0.90309
"RTL1","Whole Brain",4.251
"CDKN1C","Whole Brain",0.96108
"PEG12","Whole Brain",-0.30103
"KCNQ1","Whole Brain",0.30103
"NESPAS","Whole Brain",-12
"SLC38A4","Whole Brain",-11
"H19","Whole Brain",2.4082
"IGF2","Whole Brain",10
"INS1","Whole Brain",-12
"TFPI2","Whole Brain",-12
"AK043599","Whole Brain",4.9792
"EDN3-new","Whole Brain",0.30103
"TMEM106A-new","Whole Brain",-11
"DDC","Whole Brain",12.7361
"RDM1","Whole Brain",12.1873
"TNK1-new","Whole Brain",-0.30103
"TREM1-new","Whole Brain",-12
"2400006E01RIK-new","Whole Brain",-12
"IGF2AS","Whole Brain",-11
"UC008IHS.1-new","Whole Brain",-12
"5133400J02RIK-new","Whole Brain",-12
"PHLDA2","Whole Brain",-12
"AF357359","Whole Brain",3.3113
"GAB1","Whole Brain",12.4931
"SFMBT2","Whole Brain",-0.53681
"CD81","Whole Brain",15.991
"PHF17","Whole Brain",11.7366
"TSSC4","Whole Brain",13.2774
"DACT2-new","Whole Brain",13.5734
"SLC22A2","Whole Brain",-12
"TSSC5","Whole Brain",-11
"SLC22A3","Whole Brain",-11
"KLF14","Whole Brain",-12
"ATP10A","Whole Brain",11.1586
"DCN","Whole Brain",0.26049
"PON2","Whole Brain",12.8142
"PON3","Whole Brain",-0.20548
"AMPD3","Whole Brain",12.2472
"GABRB3","Whole Brain",13.6845
"GATM","Whole Brain",14.1294
"TBC1D12","Whole Brain",11.0457
"DIO3","Whole Brain",-0.18293
"NAP1L4","Whole Brain",14.467
"MSUIT","Whole Brain",-12
"ASCL2","Whole Brain",-12
"OSBPL5","Whole Brain",0.71606
"TNFRSF23","Whole Brain",0.43976
"AIRN","Whole Brain",-2.4082
"HTR2A","Whole Brain",11.3869
"MAPT","Whole Brain",14.9334
"MKRN1-PS1","Whole Brain",-11
"DLX5","Whole Brain",-0.56763
"IGF2R","Whole Brain",0.30103
"TRY4-new","Whole Brain",-12
"TSPAN32","Whole Brain",-12
"ZIM2","Whole Brain",-12
"PEC3","Adrenal Gland",-12
"UBE2NL","Adrenal Gland",-12
"TRAPPC9","Adrenal Gland",-12
"EIF2C2","Adrenal Gland",1.1443
"MIR344D-3","Adrenal Gland",-0.60206
"MIR344G","Adrenal Gland",-12
"A930009L07RIK","Adrenal Gland",10
"KCNK9","Adrenal Gland",9.0309
"RASGRF1","Adrenal Gland",-10
"INPP5F","Adrenal Gland",-0.924
"NAP1L5","Adrenal Gland",-0.60206
"USP29","Adrenal Gland",-5.1175
"HERC3-new","Adrenal Gland",11.9219
"GM9801-new","Adrenal Gland",-12
"BEGAIN","Adrenal Gland",-1.5051
"PX00010K13","Adrenal Gland",-12
"PEG13","Adrenal Gland",-12
"1110006E14RIK","Adrenal Gland",10
"MBII-343","Adrenal Gland",10
"MIRG","Adrenal Gland",10
"ZDBF2","Adrenal Gland",-10
"IMPACT","Adrenal Gland",-10
"NDN","Adrenal Gland",-10
"NIBP","Adrenal Gland",-10
"AK139287","Adrenal Gland",-12
"CCDC40-AS","Adrenal Gland",-11
"PX00113D24","Adrenal Gland",-0.30103
"PEC2","Adrenal Gland",-12
"ZIM3","Adrenal Gland",-12
"AK142849","Adrenal Gland",2.4082
"MKRN3","Adrenal Gland",-12
"IPW","Adrenal Gland",-12
"B830012L14RIK","Adrenal Gland",3.9134
"ADAM23","Adrenal Gland",-0.86766
"COMMD1","Adrenal Gland",0.96108
"UBE3A","Adrenal Gland",13.2721
"WARS","Adrenal Gland",-0.46095
"BCL2L1","Adrenal Gland",0.7633
"BLCAP","Adrenal Gland",-0.55502
"CALCR","Adrenal Gland",-12
"MAGEL2","Adrenal Gland",-1.2041
"CDH15","Adrenal Gland",-0.76479
"COPG2","Adrenal Gland",0.69211
"U80893","Adrenal Gland",-12
"NR_015479-new","Adrenal Gland",-12
"GRB10","Adrenal Gland",10
"PEG10","Adrenal Gland",-10
"SGCE","Adrenal Gland",-10
"PEG1","Adrenal Gland",-10
"MCTS2","Adrenal Gland",-6.9095
"H13","Adrenal Gland",3.2736
"SNRPN","Adrenal Gland",-10
"ZRSR1","Adrenal Gland",-10
"MEG3","Adrenal Gland",10
"RIAN","Adrenal Gland",10
"PEG3","Adrenal Gland",-10
"PLAGL1","Adrenal Gland",-10
"1110014L15RIK-new","Adrenal Gland",0.16273
"ASB4","Adrenal Gland",7.5796
"ZIM1","Adrenal Gland",0.50515
"KLHDC10","Adrenal Gland",13.6464
"DLK1","Adrenal Gland",-10
"GNAS","Adrenal Gland",2.853
"PPP1R9A","Adrenal Gland",10
"PDE4D","Adrenal Gland",0.63856
"A19","Adrenal Gland",-12
"ZFP264","Adrenal Gland",-12
"KCNQ1OT1","Adrenal Gland",-10
"AK050713","Adrenal Gland",-12
"RTL1","Adrenal Gland",-0.50515
"CDKN1C","Adrenal Gland",8.7299
"PEG12","Adrenal Gland",-12
"KCNQ1","Adrenal Gland",11.55
"NESPAS","Adrenal Gland",-12
"SLC38A4","Adrenal Gland",-6.3625
"H19","Adrenal Gland",-12
"IGF2","Adrenal Gland",-0.30103
"INS1","Adrenal Gland",-12
"TFPI2","Adrenal Gland",-12
"AK043599","Adrenal Gland",10
"EDN3-new","Adrenal Gland",4.8313
"TMEM106A-new","Adrenal Gland",4.9333
"DDC","Adrenal Gland",-4.5108
"RDM1","Adrenal Gland",0.41402
"TNK1-new","Adrenal Gland",-12
"TREM1-new","Adrenal Gland",-12
"2400006E01RIK-new","Adrenal Gland",-12
"IGF2AS","Adrenal Gland",-0.30103
"UC008IHS.1-new","Adrenal Gland",-12
"5133400J02RIK-new","Adrenal Gland",-12
"PHLDA2","Adrenal Gland",-12
"AF357359","Adrenal Gland",0.60206
"GAB1","Adrenal Gland",-1.123
"SFMBT2","Adrenal Gland",-11
"CD81","Adrenal Gland",0.84497
"PHF17","Adrenal Gland",13.3184
"TSSC4","Adrenal Gland",13.4815
"DACT2-new","Adrenal Gland",-12
"SLC22A2","Adrenal Gland",-12
"TSSC5","Adrenal Gland",0.90309
"SLC22A3","Adrenal Gland",-12
"KLF14","Adrenal Gland",-12
"ATP10A","Adrenal Gland",14.3472
"DCN","Adrenal Gland",16
"PON2","Adrenal Gland",13.3295
"PON3","Adrenal Gland",13.282
"AMPD3","Adrenal Gland",13.2918
"GABRB3","Adrenal Gland",12.1224
"GATM","Adrenal Gland",11.7549
"TBC1D12","Adrenal Gland",11.9638
"DIO3","Adrenal Gland",11.0105
"NAP1L4","Adrenal Gland",14.0932
"MSUIT","Adrenal Gland",-12
"ASCL2","Adrenal Gland",-12
"OSBPL5","Adrenal Gland",12.393
"TNFRSF23","Adrenal Gland",0.46376
"AIRN","Adrenal Gland",-4.5154
"HTR2A","Adrenal Gland",-12
"MAPT","Adrenal Gland",14.2483
"MKRN1-PS1","Adrenal Gland",-12
"DLX5","Adrenal Gland",-12
"IGF2R","Adrenal Gland",10
"TRY4-new","Adrenal Gland",-12
"TSPAN32","Adrenal Gland",-11
"ZIM2","Adrenal Gland",-12
"PEC3","Olfactory Bulb",-10
"UBE2NL","Olfactory Bulb",-10
"TRAPPC9","Olfactory Bulb",10
"EIF2C2","Olfactory Bulb",8.1534
"MIR344D-3","Olfactory Bulb",-10
"MIR344G","Olfactory Bulb",-10
"A930009L07RIK","Olfactory Bulb",10
"KCNK9","Olfactory Bulb",8.1278
"RASGRF1","Olfactory Bulb",-10
"INPP5F","Olfactory Bulb",-10
"NAP1L5","Olfactory Bulb",-10
"USP29","Olfactory Bulb",-10
"HERC3-new","Olfactory Bulb",2.0238
"GM9801-new","Olfactory Bulb",-10
"BEGAIN","Olfactory Bulb",-4.3145
"PX00010K13","Olfactory Bulb",-10
"PEG13","Olfactory Bulb",-10
"1110006E14RIK","Olfactory Bulb",10
"MBII-343","Olfactory Bulb",10
"MIRG","Olfactory Bulb",10
"ZDBF2","Olfactory Bulb",-10
"IMPACT","Olfactory Bulb",-10
"NDN","Olfactory Bulb",-10
"NIBP","Olfactory Bulb",-10
"AK139287","Olfactory Bulb",-1.8062
"CCDC40-AS","Olfactory Bulb",-1.8
"PX00113D24","Olfactory Bulb",-10
"PEC2","Olfactory Bulb",-8.691
"ZIM3","Olfactory Bulb",-10
"AK142849","Olfactory Bulb",6.6227
"MKRN3","Olfactory Bulb",-7.5395
"IPW","Olfactory Bulb",-3.1994
"B830012L14RIK","Olfactory Bulb",10
"ADAM23","Olfactory Bulb",-5.2647
"COMMD1","Olfactory Bulb",0.30103
"UBE3A","Olfactory Bulb",-2.9496
"WARS","Olfactory Bulb",13.7041
"BCL2L1","Olfactory Bulb",-0.84301
"BLCAP","Olfactory Bulb",14.5099
"CALCR","Olfactory Bulb",-12
"MAGEL2","Olfactory Bulb",-12
"CDH15","Olfactory Bulb",-1.7484
"COPG2","Olfactory Bulb",0.89648
"U80893","Olfactory Bulb",-2.1072
"NR_015479-new","Olfactory Bulb",12.9514
"GRB10","Olfactory Bulb",-10
"PEG10","Olfactory Bulb",-10
"SGCE","Olfactory Bulb",-10
"PEG1","Olfactory Bulb",-10
"MCTS2","Olfactory Bulb",-1.0009
"H13","Olfactory Bulb",10
"SNRPN","Olfactory Bulb",-10
"ZRSR1","Olfactory Bulb",-10
"MEG3","Olfactory Bulb",10
"RIAN","Olfactory Bulb",10
"PEG3","Olfactory Bulb",-10
"PLAGL1","Olfactory Bulb",-10
"1110014L15RIK-new","Olfactory Bulb",-11
"ASB4","Olfactory Bulb",-11
"ZIM1","Olfactory Bulb",0.30103
"KLHDC10","Olfactory Bulb",13.2641
"DLK1","Olfactory Bulb",-1.0568
"GNAS","Olfactory Bulb",7.8439
"PPP1R9A","Olfactory Bulb",13.1778
"PDE4D","Olfactory Bulb",13.4123
"A19","Olfactory Bulb",-12
"ZFP264","Olfactory Bulb",-0.90309
"KCNQ1OT1","Olfactory Bulb",-10
"AK050713","Olfactory Bulb",3.3113
"RTL1","Olfactory Bulb",7.8085
"CDKN1C","Olfactory Bulb",1.6105
"PEG12","Olfactory Bulb",-0.90309
"KCNQ1","Olfactory Bulb",-11
"NESPAS","Olfactory Bulb",-12
"SLC38A4","Olfactory Bulb",-11
"H19","Olfactory Bulb",10
"IGF2","Olfactory Bulb",10
"INS1","Olfactory Bulb",-0.4387
"TFPI2","Olfactory Bulb",-12
"AK043599","Olfactory Bulb",7.9105
"EDN3-new","Olfactory Bulb",0.30103
"TMEM106A-new","Olfactory Bulb",-11
"DDC","Olfactory Bulb",12.1879
"RDM1","Olfactory Bulb",11.9063
"TNK1-new","Olfactory Bulb",0.30103
"TREM1-new","Olfactory Bulb",-11
"2400006E01RIK-new","Olfactory Bulb",-12
"IGF2AS","Olfactory Bulb",-11
"UC008IHS.1-new","Olfactory Bulb",-12
"5133400J02RIK-new","Olfactory Bulb",-12
"PHLDA2","Olfactory Bulb",-12
"AF357359","Olfactory Bulb",2.7093
"GAB1","Olfactory Bulb",-0.51717
"SFMBT2","Olfactory Bulb",-11
"CD81","Olfactory Bulb",15.6614
"PHF17","Olfactory Bulb",0.48959
"TSSC4","Olfactory Bulb",13.2756
"DACT2-new","Olfactory Bulb",11.9736
"SLC22A2","Olfactory Bulb",0.23846
"TSSC5","Olfactory Bulb",0.59533
"SLC22A3","Olfactory Bulb",-11
"KLF14","Olfactory Bulb",-12
"ATP10A","Olfactory Bulb",12.158
"DCN","Olfactory Bulb",12.9537
"PON2","Olfactory Bulb",12.8109
"PON3","Olfactory Bulb",-11
"AMPD3","Olfactory Bulb",12.6546
"GABRB3","Olfactory Bulb",14.464
"GATM","Olfactory Bulb",13.6555
"TBC1D12","Olfactory Bulb",-0.50936
"DIO3","Olfactory Bulb",-11
"NAP1L4","Olfactory Bulb",14.3662
"MSUIT","Olfactory Bulb",-12
"ASCL2","Olfactory Bulb",-12
"OSBPL5","Olfactory Bulb",12.3484
"TNFRSF23","Olfactory Bulb",-11
"AIRN","Olfactory Bulb",-10
"HTR2A","Olfactory Bulb",0.47378
"MAPT","Olfactory Bulb",-0.64229
"MKRN1-PS1","Olfactory Bulb",-11
"DLX5","Olfactory Bulb",-1.0752
"IGF2R","Olfactory Bulb",10
"TRY4-new","Olfactory Bulb",-12
"TSPAN32","Olfactory Bulb",-11
"ZIM2","Olfactory Bulb",-12
"PEC3","Cortex",-10
"UBE2NL","Cortex",-10
"TRAPPC9","Cortex",10
"EIF2C2","Cortex",10
"MIR344D-3","Cortex",-10
"MIR344G","Cortex",-10
"A930009L07RIK","Cortex",10
"KCNK9","Cortex",9.6653
"RASGRF1","Cortex",-10
"INPP5F","Cortex",-10
"NAP1L5","Cortex",-10
"USP29","Cortex",-10
"HERC3-new","Cortex",10
"GM9801-new","Cortex",-10
"BEGAIN","Cortex",-1.8819
"PX00010K13","Cortex",-10
"PEG13","Cortex",-10
"1110006E14RIK","Cortex",6.9446
"MBII-343","Cortex",10
"MIRG","Cortex",10
"ZDBF2","Cortex",-10
"IMPACT","Cortex",-10
"NDN","Cortex",-10
"NIBP","Cortex",-10
"AK139287","Cortex",-12
"CCDC40-AS","Cortex",-2.4
"PX00113D24","Cortex",-10
"PEC2","Cortex",-4.8165
"ZIM3","Cortex",-10
"AK142849","Cortex",0.30103
"MKRN3","Cortex",-0.30103
"IPW","Cortex",13.9503
"B830012L14RIK","Cortex",1.5051
"ADAM23","Cortex",-2.6518
"COMMD1","Cortex",-12
"UBE3A","Cortex",12.84
"WARS","Cortex",13.8616
"BCL2L1","Cortex",14.1663
"BLCAP","Cortex",13.7954
"CALCR","Cortex",-12
"MAGEL2","Cortex",-12
"CDH15","Cortex",-0.96108
"COPG2","Cortex",9.106
"U80893","Cortex",-3.1454
"NR_015479-new","Cortex",1.2044
"GRB10","Cortex",-10
"PEG10","Cortex",-10
"SGCE","Cortex",-10
"PEG1","Cortex",-10
"MCTS2","Cortex",-3.7904
"H13","Cortex",2.9689
"SNRPN","Cortex",-10
"ZRSR1","Cortex",-10
"MEG3","Cortex",10
"RIAN","Cortex",10
"PEG3","Cortex",-10
"PLAGL1","Cortex",-10
"1110014L15RIK-new","Cortex",-11
"ASB4","Cortex",0.12494
"ZIM1","Cortex",-0.41206
"KLHDC10","Cortex",0.71776
"DLK1","Cortex",-0.30103
"GNAS","Cortex",1.444
"PPP1R9A","Cortex",14.2269
"PDE4D","Cortex",13.0992
"A19","Cortex",-12
"ZFP264","Cortex",-12
"KCNQ1OT1","Cortex",-10
"AK050713","Cortex",-12
"RTL1","Cortex",11.1769
"CDKN1C","Cortex",2.7093
"PEG12","Cortex",-12
"KCNQ1","Cortex",-0.60206
"NESPAS","Cortex",-12
"SLC38A4","Cortex",-11
"H19","Cortex",-12
"IGF2","Cortex",0.76479
"INS1","Cortex",-12
"TFPI2","Cortex",-12
"AK043599","Cortex",3.3656
"EDN3-new","Cortex",-0.53681
"TMEM106A-new","Cortex",-11
"DDC","Cortex",0.42371
"RDM1","Cortex",-0.59229
